order,contents,kind,manuscript
4.1.1.4.55,מועד,word,K
4.1.1.4.56,לעולם,word,K
4.1.1.4.57,מה,word,K
4.1.1.4.58,בין,word,K
4.1.1.4.59,תם,word,K
4.1.1.4.60,למועד,word,K
4.1.1.4.61,אלא,word,K
4.1.1.4.62,שהתם,word,K
4.1.1.4.63,משלם,word,K
4.1.1.4.64,חצי,word,K
4.1.1.4.65,נזק,word,K
4.1.1.4.66,מגופו,word,K
4.1.1.4.67,ומועד,word,K
4.1.1.4.68,משלם,word,K
4.1.1.4.69,נזק,word,K
4.1.1.4.70,שלם,word,K
4.1.1.4.71,מן,word,K
4.1.1.4.72,העליה,word,K
4.1.1.T,trailer,paratext,K
4.1.2,div3,div,K
4.1.2.H,head,paratext,K
4.1.2.H.1,פרק,paratext,K
4.1.2.H.2,ב,paratext,K
4.1.2.1,ab,misnhah,K
4.1.2.1.1,כיצד,word,K
4.1.2.1.2,הרגל,word,K
4.1.2.1.3,מועדת,word,K
4.1.2.1.4,לשבר,word,K
4.1.2.1.5,בדרך,word,K
4.1.2.1.6,הלוכה,word,K
4.1.2.1.7,הבהמה,word,K
4.1.2.1.8,מועדת,word,K
4.1.2.1.9,להלך,word,K
4.1.2.1.10,כדרכה,word,K
4.1.2.1.11,ולשבר,word,K
4.1.2.1.12,היתה,word,K
4.1.2.1.13,מבעטת,word,K
4.1.2.1.14,או,word,K
4.1.2.1.15,שהיו,word,K
4.1.2.1.16,צרורות,word,K
4.1.2.1.17,מנתזין,word,K
4.1.2.1.18,מתחת,word,K
4.1.2.1.19,רגליה,word,K
4.1.2.1.20,ושברה,word,K
4.1.2.1.21,את,word,K
4.1.2.1.22,הכלים,word,K
4.1.2.1.23,משלם,word,K
4.1.2.1.24,חצי,word,K
4.1.2.1.25,נזק,word,K
4.1.2.1.26,דרסה,word,K
4.1.2.1.27,על,word,K
4.1.2.1.28,הכלי,word,K
4.1.2.1.29,ושברתו,word,K
4.1.2.1.30,ונפל,word,K
4.1.2.1.31,על,word,K
4.1.2.1.32,כלי,word,K
4.1.2.1.33,ושברו,word,K
4.1.2.1.34,על,word,K
4.1.2.1.35,הראשון,word,K
4.1.2.1.36,משלם,word,K
4.1.2.1.37,נזק,word,K
4.1.2.1.38,שלם,word,K
4.1.2.1.39,ועל,word,K
4.1.2.1.40,האחרון,word,K
4.1.2.1.41,משלם,word,K
4.1.2.1.42,חצי,word,K
4.1.2.1.43,נזק,word,K
4.1.2.1.44,התרנגולים,word,K
4.1.2.1.45,מועדין,word,K
4.1.2.1.46,להלך,word,K
4.1.2.1.47,כדרכן,word,K
4.1.2.1.48,ולשבר,word,K
4.1.2.1.49,היה,word,K
4.1.2.1.50,דליל,word,K
4.1.2.1.51,קשור,word,K
4.1.2.1.52,ברגליו,word,K
4.1.2.1.53,או,word,K
4.1.2.1.54,שהיה,word,K
4.1.2.1.55,מהדס,word,K
4.1.2.1.56,ומשבר,word,K
4.1.2.1.57,את,word,K
4.1.2.1.58,הכלים,word,K
4.1.2.1.59,משלם,word,K
4.1.2.1.60,חצי,word,K
4.1.2.1.61,נזק,word,K
4.1.2.2,ab,misnhah,K
4.1.2.2.1,כיצד,word,K
4.1.2.2.2,השן,word,K
4.1.2.2.3,מועדת,word,K
4.1.2.2.4,לאכל,word,K
4.1.2.2.5,את,word,K
4.1.2.2.6,הראוי,word,K
4.1.2.2.7,לה,word,K
4.1.2.2.8,הבהמה,word,K
4.1.2.2.9,מועדת,word,K
4.1.2.2.10,לאכול,word,K
4.1.2.2.11,פרות,word,K
4.1.2.2.12,וירקות,word,K
4.1.2.2.13,אכלה,word,K
4.1.2.2.14,כסות,word,K
4.1.2.2.15,או,word,K
4.1.2.2.16,כלים,word,K
4.1.2.2.17,משלם,word,K
4.1.2.2.18,חצי,word,K
4.1.2.2.19,נזק,word,K
4.1.2.2.20,במה,word,K
4.1.2.2.21,דברים,word,K
4.1.2.2.22,אמורים,word,K
4.1.2.2.23,ברשות,word,K
4.1.2.2.24,הניזק,word,K
4.1.2.2.25,אבל,word,K
4.1.2.2.26,ברשות,word,K
4.1.2.2.27,הרבים,word,K
4.1.2.2.28,פטור,word,K
4.1.2.2.29,אם,word,K
4.1.2.2.30,נהנית,word,K
4.1.2.2.31,משלם,word,K
4.1.2.2.32,מה,word,K
4.1.2.2.33,שנהנית,word,K
4.1.2.2.34,כיצד,word,K
4.1.2.2.35,משלם,word,K
4.1.2.2.36,מה,word,K
4.1.2.2.37,שנהנית,word,K
4.1.2.2.38,אכלה,word,K
4.1.2.2.39,מתוך,word,K
4.1.2.2.40,הרחבה,word,K
4.1.2.2.41,משלם,word,K
4.1.2.2.42,מה,word,K
4.1.2.2.43,שנהנית,word,K
4.1.2.2.44,מצדי,word,K
4.1.2.2.45,הרחבה,word,K
4.1.2.2.46,משלם,word,K
4.1.2.2.47,מה,word,K
4.1.2.2.48,שהזיקה,word,K
4.1.2.2.49,מפתח,word,K
4.1.2.2.50,החנות,word,K
4.1.2.2.51,משלם,word,K
4.1.2.2.52,מה,word,K
4.1.2.2.53,שנהנית,word,K
4.1.2.2.54,מתוך,word,K
4.1.2.2.55,החנות,word,K
4.1.2.2.56,משלם,word,K
4.1.2.2.57,מה,word,K
4.1.2.2.58,שהזיקה,word,K
4.1.2.3,ab,misnhah,K
4.1.2.3.1,הכלב,word,K
4.1.2.3.2,והגדי,word,K
4.1.2.3.3,שקפצו,word,K
4.1.2.3.4,מראש,word,K
4.1.2.3.5,הגג,word,K
4.1.2.3.6,ושברו,word,K
4.1.2.3.7,את,word,K
4.1.2.3.8,הכלים,word,K
4.1.2.3.9,משלם,word,K
4.1.2.3.10,נזק,word,K
4.1.2.3.11,שלם,word,K
4.1.2.3.12,מפני,word,K
